Ches,Frequent itemset,,,,Time (ms),,,, Memory (MB),,,Match Percentage (%),,
Minsup,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,Classic,Projection,Adjacency
0.5,1272932,1272932,1272932,1272932,2780476.2,1524151.93,6982.92,1788,207.832,205.74,136.58,100,100,100
0.55,574998,574998,574998,574998,725187.815,727268.26,3348.61,514,110.428,109.14,70.9,100,100,100
0.6,254944,254944,254944,254944,633847.582,349825.7,1629,214,63.21,58.88,33.06,100,100,100
0.65,111239,111239,111239,111239,394595.765,161042.92,779.39,118,39.123,37.51,20.36,100,100,100
0.7,48731,48731,48731,48731,14508.058,76407.77,474.75,52,29.642,29.14,16.77,100,100,100
0.75,20993,20993,20993,20993,53545.972,35789.23,403.91,37,23.926,23.41,16.89,100,100,100
0.8,8227,8227,8227,8227,22646.532,15264.85,373,28,22.247,24.24,15.4,100,100,100
0.85,2669,2669,2669,2669,8047.819,5904.72,363.32,36,23.078,25.17,15.11,100,100,100
0.9,622,622,622,622,2575.63,2016.02,357.8,30,22.65,25.22,12.5,100,100,100
0.95,77,77,77,77,744.06,971.37,362.32,28,20.385,23.62,14.56,100,100,100