,,,,,,,,,,,,,,
Retail,Frequent itemset,,,,Time (ms),,,,Memory (MB),,,Match Percentage (%),,
Minsup,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,SPMF,Classic,Projection,Adjacency,Classic,Projection,Adjacency
0.1,9,9,9,9,656.719,1412.07,5181.95,546,32.06,35.64,433.44,100,100,100
0.2,3,3,3,3,712.952,1235.25,4950.16,286,26.75,35.92,435.92,100,100,100
0.3,3,3,3,3,601.3,1273.97,5165.45,219,26.72,35.93,437.86,100,100,100
0.4,2,2,2,2,521.75,1100.35,4953.17,211,26.73,35.52,433.66,100,100,100
0.5,1,1,1,1,475.16,548.3,4818.64,196,24.85,22.47,435.86,100,100,100
0.6,0,0,0,0,301.69,574.02,4915.5,189,19.14,22.41,436.52,100,100,100
0.7,0,0,0,0,259.7,433.82,4426.01,187,19.15,22.38,433.15,100,100,100
0.8,0,0,0,0,262.74,439.09,3950.28,169,19.13,22.34,436.14,100,100,100
0.9,0,0,0,0,378.76,449.23,4298.57,178,19.15,22.36,433.66,100,100,100